Date,Heart_Rate_Zone,Calories_Burned_Level,Steps_Count_Zone,Distance_Walked_Zone,Active_Minutes_Level,Sleep_Hours_Quality,Blood_Oxygen_Level_Quality
2023-10-01,Moderate,Low,Lightly Active,Long,Moderate,Poor,Good
2023-10-02,High,Moderate,Lightly Active,Long,High,Good,Moderate
2023-10-03,Moderate,Very High,Very Active,Long,High,Very Good,Moderate
2023-10-04,Light,Low,Lightly Active,Long,Moderate,Very Poor,Optimal
2023-10-05,Moderate,High,Active,Long,High,Very Good,Good
2023-10-06,Light,High,Lightly Active,Short,Moderate,Very Poor,Moderate
2023-10-07,Light,Moderate,Very Active,Short,Low,Very Good,Good
2023-10-08,Moderate,Very High,Active,Moderate,High,Good,Good
2023-10-09,Light,Low,Sedentary,Long,Low,Good,Optimal
2023-10-10,Light,Low,Sedentary,Short,Low,Very Good,Optimal
2023-10-11,Light,High,Very Active,Moderate,Low,Very Good,Optimal
2023-10-12,Light,Moderate,Very Active,Long,Moderate,Good,Optimal
2023-10-13,Light,Low,Lightly Active,Moderate,Moderate,Very Good,Moderate
2023-10-14,High,Very High,Active,Long,Low,Poor,Optimal
2023-10-15,Moderate,High,Lightly Active,Long,High,Very Poor,Good
2023-10-16,Moderate,Low,Active,Moderate,Low,Poor,Moderate
2023-10-17,Light,Low,Lightly Active,Moderate,Very High,Very Poor,Optimal
2023-10-18,Resting,High,Active,Moderate,Moderate,Good,Low
2023-10-19,Light,Moderate,Lightly Active,Moderate,Very High,Very Good,Optimal
2023-10-20,High,Very High,Active,Short,Moderate,Very Poor,Good
2023-10-21,Resting,Low,Very Active,Moderate,Moderate,Very Poor,Optimal
2023-10-22,Light,Moderate,Very Active,Moderate,Very High,Good,Optimal
2023-10-23,Moderate,Moderate,Lightly Active,Very Short,Low,Very Good,Optimal
2023-10-24,Moderate,Very High,Active,Short,Low,Poor,Optimal
2023-10-25,Moderate,Low,Very Active,Moderate,High,Good,Good
2023-10-26,Resting,High,Very Active,Moderate,Very High,Very Poor,Low
2023-10-27,Light,Very High,Sedentary,Short,Moderate,Very Poor,Good
2023-10-28,Moderate,Moderate,Very Active,Long,Moderate,Very Good,Moderate
